Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.22669890036105,3.18708630238904
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.58170130027223,2.5629008034182
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.99478225758881,0.957905013850413
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.55235886056005,2.54933623927928
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.893486927711056,-0.49888869647906
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.00988649624040443,-0.041064554364363
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-0.234393419291099,-1.42563343261042
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.809225398288843,0.779788191505342
Population growth (annual %),SP.POP.GROW,Czech Republic,CZE,0.334427262299794,0.37353731667249
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.495838925879129,0.429153163832595
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.5578736070438,1.51518050206022
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.233431051672096,0.255171542527292
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.07884114802307,1.04646051306009
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.76561120074764,1.6792131785026
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2.03326217641077,1.97628434808829
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.509367035813322,0.509683301933842
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.6545067728316,3.528524074108
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,..,..
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.348039137980543,0.348339661751493
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.62001348207265,2.57956334803926
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.342876363511462,0.372524228078936
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.684181932039617,0.729660242086809
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.132641040791912,0.0867899631484352
Population growth (annual %),SP.POP.GROW,France,FRA,0.151733988951895,0.140234217742883
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.569178577392632,0.577415665471892
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.60295406093609,2.48408920696695
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.94672228129321,2.92185023710734
Population growth (annual %),SP.POP.GROW,Georgia,GEO,-0.0390365463489613,-0.165625313562404
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.300526701992065,0.273451073953555
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.19282883696746,2.16257788677108
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,-0.0296533525287643,-0.0504308885041264
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.202880238259165,-0.154411355221523
Population growth (annual %),SP.POP.GROW,Greenland,GRL,-0.265609140509557,0.359917714454119
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.521752829835629,0.491370692894964
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.901084421670108,0.916352317700628
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.60038598150372,1.56038604781094
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.83313635348047,2.83457538168629
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.49377196123486,2.45652209459577
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.486803065283861,0.481762010560315
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.2739963989891,1.24989940326034
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.66710361374407,1.64064879291134
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.799050247136158,0.754094920172569
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.126786951652838,-0.0574556437016089
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2.67814276922904,2.40672425296975
Population growth (annual %),SP.POP.GROW,India,IND,1.03732336037888,1.01510602753472
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.1337698607638,1.10058458685211
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.38647970473313,1.35222602321056
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.3184640284933,2.25413421903288
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.23887545258946,1.51149403751316
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.571344926815681,0.601207780255882
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.92662286520241,1.90125095125148
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.190063640113791,-0.206038624053582
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.478235140362221,0.456356197137556
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.202670345017896,-0.208999472902293
Population growth (annual %),SP.POP.GROW,Jordan,JOR,1.79215692220237,1.4526643189474
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.31477741000475,1.29074221770545
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.30594867522983,2.27190164034829
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.46869012445746,1.50696995827
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People’s Rep.",PRK,0.470124289654097,0.454319921690691
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.475334410431755,0.198353208370259
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,0.33901096210321,-0.157991508452547
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,1.98246273293473,1.67232318324502
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,1.99032207024617,2.09871784350026
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.54802299147207,1.5171155747641
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.779138396192231,-0.749229473885315
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,0.542458659560969,0.0990613623664896
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,0.796281136528556,0.80956647567982
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.45252259258425,2.42719460419122
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.47586738980959,1.46977765305762
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.290582690270153,0.287110523979341
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.954190459209969,-0.526056405820061
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,1.92883751398765,1.9459080290974
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.44331136552005,1.38499683787543
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,0.0461949888093546,0.0240494411584019
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.6696132402134,2.65624016241262
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.64191728771031,2.64037519341292
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.35251165124592,1.32706064876164
Population growth (annual %),SP.POP.GROW,Maldives,MDV,3.81313622480854,2.91560605041598
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.00791357916659,2.99663676010293
Population growth (annual %),SP.POP.GROW,Malta,MLT,3.49195540302534,3.65143580077893
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,0.60959569220907,0.645031416343302
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.78043440578277,2.7412802727648
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.0545472669534157,0.0322400432027594
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.12642114890216,1.09136213246927
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,1.05400821370478,1.03774307896197
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-1.79851537396441,-1.80522553770811
Population growth (annual %),SP.POP.GROW,Monaco,MCO,0.752527100059372,0.726376735217096
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.796009979898,1.71875309742159
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,-0.0234613531527775,-0.0144652208127193
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.25079496436022,1.22105092988365
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.91345897465103,2.90713743750143
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.608482651749138,0.625548337219885
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.88227929401189,1.87248088130699
Population growth (annual %),SP.POP.GROW,Nauru,NRU,-1.34482089317817,-0.972916513578618
